Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL495902,GW820759X,None,291.35,0,3.43,GW820759X,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2[nH]ncc2c1,Inhibition,'=',-13.28,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-13.28
CHEMBL4212680,,None,296.12,0,2.11,6ÔÂ1ÈÕ,C=C(C)n1c(=O)n(C(C)=O)c2cc(Br)cnc21,Inhibition,'=',-12,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL4181156,Inhibition of recombinant human N-terminal GST-tagged CSK expressed in Escherichia coli BL21(DE3) cells at 10 uM by filter binding radioactive ATP transferase assay relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4177654,1,Scientific Literature,Bioorg Med Chem,2017,None,,,,-12
CHEMBL495902,GW820759X,None,291.35,0,3.43,GW820759X,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2[nH]ncc2c1,Inhibition,'=',-11.2,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-11.2
CHEMBL477979,GW785974X,None,350.46,0,3.94,GW785974X,Cc1ccc(C(=O)NC(C)C)cc1-c1ccc(C(=O)NCC2CC2)cc1,Inhibition,'=',-10.06,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-10.06
CHEMBL3971067,,None,378.48,0,3,45,CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1,Inhibition,'=',-9.6,%,,,,UO_0000187,,,,,0,CHEMBL4045910,Inhibition of CSK labeling at conserved Lys2 (VSDFGLTKEASSTQDTGKLPVK) in human PBMC at 0.1 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4043168,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,,,,-9.6
CHEMBL1794058,GW278681X,None,329.38,0,2.46,GW278681X,CS(=O)(=O)Nc1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,Inhibition,'=',-9.22,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-9.22
CHEMBL3236549,JNJ-39758979,2,221.31,0,0.72,EUB0003084,CC(C)c1cc(N2CC[C@@H](N)C2)nc(N)n1,Inhibition,'=',-9,%,,,Not Active,UO_0000187,,,,,0,CHEMBL5058909,CSK(h) Millipore kinase panel,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL5058644,54,SGC Frankfurt - Donated Chemical Probes,,2022,None,Compound concentration = 10.0 uM,,,-9
CHEMBL103115,GW831091X,None,348.36,0,2.31,GW831091X,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1,Inhibition,'=',-8.87,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-8.87
CHEMBL4594444,PECAVAPTAN,2,543.33,1,3.62,EUB0003011,C[C@H](O)c1nc(Cn2nc(-c3ccc(Cl)cc3)n(C[C@H](O)C(F)(F)F)c2=O)nn1-c1cccc(Cl)c1,Inhibition,'=',-8.59,%,,,,UO_0000187,,,,,0,CHEMBL5464489,Inhibition of CSK(h) at 10.0 ÂµM in the Eurofins Kinase panel,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL5463729,54,SGC Frankfurt - Donated Chemical Probes,,2023,None,Compound concentration = 10.0 uM,,,-8.59
CHEMBL5465173,,None,498.29,0,4.18,EUB0003013,O=c1n(Cc2cncn2-c2cccc(Cl)c2)nc(-c2ccc(Cl)cc2)n1C[C@H](O)C(F)(F)F,Inhibition,'=',-8.53,%,,,,UO_0000187,,,,,0,CHEMBL5464867,Inhibition of CSK(h) at 10.0 ÂµM in the Eurofins Kinase panel,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL5463729,54,SGC Frankfurt - Donated Chemical Probes,,2023,None,Compound concentration = 10.0 uM,,,-8.53
CHEMBL187985,,None,299.34,0,1.68,SB-744941,CCn1c(-c2nonc2N)nc2c(N3CCCC3)nccc21,Inhibition,'=',-7.4,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-7.4
CHEMBL407113,,None,356.41,0,2.23,SB-741905,NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,Inhibition,'=',-7.29,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-7.29
CHEMBL456252,GSK-2110236A,None,520.62,1,3.45,GSK2110236A,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2,Inhibition,'=',-7.26,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-7.26
CHEMBL477979,GW785974X,None,350.46,0,3.94,GW785974X,Cc1ccc(C(=O)NC(C)C)cc1-c1ccc(C(=O)NCC2CC2)cc1,Inhibition,'=',-7.18,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-7.18
CHEMBL271843,GW275944X,None,330.37,0,1.41,GW275944X,Cc1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,Inhibition,'=',-6.97,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.97
CHEMBL1794071,,None,409.92,0,3.73,SB-614067-R,Cl.ON=C1CCc2cc(-c3nc(C4CCNCC4)[nH]c3-c3ccncc3)ccc21,Inhibition,'=',-6.96,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.96
CHEMBL189231,,None,284.32,0,2.57,SB-734117,Nc1nonc1-c1nc2cnccc2n1C1CCCCC1,Inhibition,'=',-6.81,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.81
CHEMBL1789962,GW643971X,None,374.4,0,3.03,GW643971X,COc1cc(C=NNc2ncnc3c2cnn3Cc2ccccc2)ccc1O,Inhibition,'=',-6.66,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.66
CHEMBL1794053,GW407323A,None,529.64,1,5.12,GW407323A,Cl.Nc1nc(-c2ccc3c(c2)C(=Cc2cc(Br)c(O)c(Br)c2)C(=O)N3)cs1,Inhibition,'=',-6.6,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.6
CHEMBL1778718,,None,315.38,0,4.07,23a,Cc1cc(-c2cccc(N)c2)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,Inhibition,'=',-6.5,%,,,,UO_0000187,,,,,0,CHEMBL1781030,Inhibition of CSK at 4 uM by mobility shift assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1777751,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,-6.5
CHEMBL1794058,GW278681X,None,329.38,0,2.46,GW278681X,CS(=O)(=O)Nc1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1,Inhibition,'=',-6.43,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.43
CHEMBL103115,GW831091X,None,348.36,0,2.31,GW831091X,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1,Inhibition,'=',-6.35,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.35
CHEMBL14112,SB-210313,None,366.44,0,3.47,SB-210313,Fc1ccc(-c2ncn(CCCN3CCOCC3)c2-c2ccncc2)cc1,Inhibition,'=',-6.18,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-6.18
CHEMBL3735816,,None,391.43,0,1.99,6,COc1ccc2c(c1CN1CCNCC1)O/C(=C\c1n[nH]c3ncccc13)C2=O,Inhibition,'=',-5.8,%,,,,UO_0000187,,,,,0,CHEMBL3738400,Inhibition of CSK (unknown origin) at 200 nM by electrophoretic mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL3734671,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,-5.8
CHEMBL160333,,None,349.17,0,3.18,SB-409514,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1,Inhibition,'=',-5.59,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-5.59
CHEMBL405042,GW335962X,None,329.38,0,2.13,GW335962X,C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccccc21,Inhibition,'=',-5.47,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-5.47
CHEMBL185710,,None,230.23,0,1.08,SB-738561,CCn1c(-c2nonc2N)nc2ccncc21,Inhibition,'=',-5.08,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-5.08
CHEMBL1909349,GSK-1007102B,None,561.52,0,2.28,GSK1007102B,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@@H](CN)c3ccccc3)cc21.O=C(O)C(F)(F)F,Inhibition,'=',-5.08,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-5.08
CHEMBL234838,GW572738X,None,300.36,0,3.89,GW572738X,N#Cc1c(NC(=O)c2ccccc2F)sc2c1CCCC2,Inhibition,'=',-5.02,%,,,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-5.02
CHEMBL1909349,GSK-1007102B,None,561.52,0,2.28,GSK1007102B,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@@H](CN)c3ccccc3)cc21.O=C(O)C(F)(F)F,Inhibition,'=',-5,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-5
CHEMBL3818239,,None,493.61,0,5,1; CFI-401870,O=C(N[C@@H](c1ccccn1)C1CC1)c1ccc2[nH]nc(-c3ccc(N4C5CCC4CC(O)C5)cc3)c2c1,Inhibition,'=',-5,%,,,,UO_0000187,,,,,0,CHEMBL3820220,Inhibition of full length recombinant human N-terminal GST-tagged CSK expressed in Escherichia coli BL21(DE3) cells at 1 uM by radiometric assay relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL3817791,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,-5
CHEMBL3793843,,None,425.49,0,3.78,24,O=C(Nc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1)c1n[nH]c2ccccc12,Inhibition,'=',-5,%,,,,UO_0000187,,,,,0,CHEMBL3794762,Inhibition of full length human N-terminal GST-tagged CSK (1 to 450 residues) expressed in baculovirus expression system using fluorescence labelled srctide as substrate at 50 times IC50 by electrophoretic mobility shift assay relative to control,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL3792292,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,-5
CHEMBL4516793,,None,480.57,0,3.76,13a,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(-c4ccc(N5CCN(C)CC5)nc4)n[nH]c3c1)C(=O)N2,Inhibition,'=',-5,%,,,,UO_0000187,,,,,0,CHEMBL4430393,Inhibition of human CSK at 0.1 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4428091,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,-5
CHEMBL1794068,GSK-326090A,None,558.63,2,6.07,GSK326090A,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,Inhibition,'=',-4.98,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-4.98
CHEMBL1794071,,None,409.92,0,3.73,SB-614067-R,Cl.ON=C1CCc2cc(-c3nc(C4CCNCC4)[nH]c3-c3ccncc3)ccc21,Inhibition,'=',-4.87,%,,,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-4.87
